Filename,Date Digitized ,QA complete,OCR complete,Bib ID,Call number,Prefix,Classification,Brief Title,Full Title,Repository
ksrl_sc_griffith_h40_0001,2015-04-29,2015-04-30,2015-05-01,6023689,Griffith H40,Griffith,H40,Quejas de un alcalde /,Quejas de un alcalde /$c[signed] Tadeo Palacios.,Special Collections
ksrl_sc_griffith_h41_0001,2015-04-14,2015-04-15,2015-05-01,5969190,Griffith H41,Griffith,H41,Tres sonetos /,Tres sonetos /$cM.H.,Special Collections
ksrl_sc_griffith_h42_0001,2015-04-14,2015-04-15,2015-05-01,5969340,Griffith H42,Griffith,H42,Al ciudadano presidente provisorio.,Al ciudadano presidente provisorio.,Special Collections
ksrl_sc_griffith_h43_0001,2015-04-14,2015-04-15,2015-05-01,5969254,Griffith H43,Griffith,H43,Vindicaci{acute}on /,Vindicaci{acute}on /$c[signed] La Mancha Blanca.,Special Collections
ksrl_sc_griffith_h46_0001,2015-04-14,2015-04-15,2015-05-01,7833652,Griffith H46,Griffith,H46,Se{tilde}nor jeneral presidente constitucional don Manuel Lisandro Barillas /,Se{tilde}nor jeneral presidente constitucional don Manuel Lisandro Barillas /$c[signed] Nicol{acute}as Garcia... [et al.].,Special Collections
ksrl_sc_griffith_h47_0001,2015-04-14,2015-04-15,2015-05-01,7833653,Griffith H47,Griffith,H47,"Manifestaci{acute}on del Club Liberal ""Francisco Moraz{acute}an"" de Santo Tom{acute}as P., Departamento de Suchitepequez /","Manifestaci{acute}on del Club Liberal ""Francisco Moraz{acute}an"" de Santo Tom{acute}as P., Departamento de Suchitepequez /$c[signed] Gabriel O. M{acute}erida... [et al.].",Special Collections
ksrl_sc_griffith_h48_0001,2015-04-14,2015-04-15,2015-05-01,7833654,Griffith H48,Griffith,H48,"Manifestaci{acute}on al se{tilde}nor licenciado don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /","Manifestaci{acute}on al se{tilde}nor licenciado don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /$c[signed] Jos{acute}e Ma. Archila... [et al.]",Special Collections
ksrl_sc_griffith_h49_0001||ksrl_sc_griffith_h49_0002,2015-04-17,2015-04-20,2015-05-01,7833655,Griffith H49,Griffith,H49,Suum cuique :,Suum cuique :$bdon B.K. Pearse sentenciado por s{acute}i mismo /$c[signed] Emeterio Avila.,Special Collections
ksrl_sc_griffith_h50_0001,2015-04-17,2015-04-20,2015-05-01,7833656,Griffith H50,Griffith,H50,Correspondencia de Guatemala :,Correspondencia de Guatemala :$b17 de junio de 1904.,Special Collections
ksrl_sc_griffith_h51_0001,2015-04-17,2015-04-20,2015-05-01,7833657,Griffith H51,Griffith,H51,"Club ""El Reeleccionista"" {acute}a sus conciudadanos... /","Club ""El Reeleccionista"" {acute}a sus conciudadanos... /$c[signed] J. Isabel Toledo... [et al.]",Special Collections
